"management","services","tot","Prop_mean","dir_shuff_mean","dir_shuff_sd","n","z","signif"
"SE","Crop production",6,1,1,0,447,NA,NA
"M","Crop production",6,1,1,0,447,NA,NA
"SI","Crop production",6,1,1,0,447,NA,NA
"I","Crop production",6,1,1,0,447,NA,NA
"IM","Crop production",6,1,1,0,447,NA,NA
"SE","Pollination",104,0.888888888888889,0.925103730472858,0.0172886827653549,447,-2.09471375439549,"below"
"M","Pollination",77,0.658119658119658,0.816306239125031,0.0325830645634348,447,-4.85487117693934,"below"
"SI","Pollination",63,0.538461538461538,0.788408956194191,0.0353803541719458,447,-7.06458212707332,"below"
"I","Pollination",44,0.376068376068376,0.76873362779403,0.0394184399878276,447,-9.96146097732201,"below"
"IM","Pollination",6,0.0512820512820513,0.0512820512820513,0,447,NA,NA
"SE","Crop damage",14,0.933333333333333,0.970320656226696,0.0331695766556131,447,-1.11509782827162,"not signif"
"M","Crop damage",14,0.933333333333333,0.970320656226696,0.0331695766556131,447,-1.11509782827162,"not signif"
"SI","Crop damage",14,0.933333333333333,0.970320656226696,0.0331695766556131,447,-1.11509782827162,"not signif"
"I","Crop damage",14,0.933333333333333,0.970320656226696,0.0331695766556131,447,-1.11509782827162,"not signif"
"IM","Crop damage",3,0.2,0.2,0,447,NA,NA
"SE","Pest control",26,0.928571428571429,0.952141259188239,0.0274937490870407,447,-0.857279614438624,"not signif"
"M","Pest control",21,0.75,0.898130393096836,0.041776324167805,447,-3.54579767482255,"below"
"SI","Pest control",18,0.642857142857143,0.880313199105145,0.0488923019614811,447,-4.85671663475935,"below"
"I","Pest control",18,0.642857142857143,0.880313199105145,0.0488923019614811,447,-4.85671663475935,"below"
"IM","Pest control",18,0.642857142857143,0.823665707893896,0.0634169283054508,447,-2.85110884219872,"below"
"SE","Seed dispersal",5,1,1,0,447,NA,NA
"M","Seed dispersal",5,1,1,0,447,NA,NA
"SI","Seed dispersal",5,1,1,0,447,NA,NA
"I","Seed dispersal",5,1,1,0,447,NA,NA
"SE","Butterfly watching",16,1,1,0,447,NA,NA
"M","Butterfly watching",15,0.9375,0.970917225950783,0.0312096892423058,447,-1.07073241554372,"not signif"
"SI","Butterfly watching",10,0.625,0.910514541387025,0.0616299377537885,447,-4.63272480539661,"below"
"I","Butterfly watching",9,0.5625,0.907857941834452,0.0627415552587962,447,-5.50445299626253,"below"
"IM","Butterfly watching",3,0.1875,0.1875,0,447,NA,NA
"SE","Bird watching",7,1,1,0,447,NA,NA
"M","Bird watching",7,1,1,0,447,NA,NA
"SI","Bird watching",7,1,1,0,447,NA,NA
"I","Bird watching",7,1,1,0,447,NA,NA
